Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,66.73502327229194,109.83507729101751,5.0721880151610685,9.000000000000008e-3,5.172017000104909e-4,"cx0_1: 1.485e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q1,63.33503843041117,51.551456566061255,5.0204824934396,1.100000000000001e-2,3.201569278123502e-4,"cx1_0: 1.485e-2, cx1_2: 1.527e-2, cx1_4: 9.864e-3",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q2,114.24463417473781,150.73912388605407,4.818509365878304,2.8000000000000025e-2,9.261414439119091e-4,"cx2_1: 1.527e-2, cx2_3: 1.588e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q3,95.91526291844362,76.90885111044153,4.8950210636113844,1.100000000000001e-2,4.429636495747699e-4,"cx3_2: 1.588e-2, cx3_5: 1.037e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q4,35.400714901459935,40.422393131823725,5.085743074162844,2.400000000000002e-2,6.873673799458368e-4,"cx4_1: 9.864e-3, cx4_7: 2.068e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q5,90.07245717453748,68.82341086701834,4.769984030795726,3.0000000000000027e-2,2.472765637126086e-4,"cx5_3: 1.037e-2, cx5_8: 5.688e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q6,52.04219563488993,61.307208739847894,5.201914177243681,4.1000000000000036e-2,5.216400401473335e-4,"cx6_7: 1.310e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q7,93.65702157717979,55.343896934076724,5.141801907470405,1.0000000000000009e-2,7.04300508709562e-4,"cx7_4: 2.068e-2, cx7_6: 1.310e-2, cx7_10: 1.031e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q8,60.217699702268575,93.73325047904198,5.068638914491372,2.100000000000002e-2,3.1341959510080273e-4,"cx8_5: 5.688e-2, cx8_9: 1.281e-2, cx8_11: 7.537e-3",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q9,58.9002105979805,97.47059692440838,5.169646712402428,1.6000000000000014e-2,2.4240885814132368e-4,"cx9_8: 1.281e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q10,74.16421289713982,102.89208730192374,4.919925569671249,4.200000000000004e-2,4.6955814873513073e-4,"cx10_7: 1.031e-2, cx10_12: 1.147e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q11,85.86503979509479,132.01463259134533,4.958884034608716,1.5000000000000013e-2,3.762665862863182e-4,"cx11_8: 7.537e-3, cx11_14: 1.081e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q12,75.56631587553262,102.65375137539688,5.042482103370208,1.9000000000000017e-2,2.1306323073942896e-4,"cx12_10: 1.147e-2, cx12_13: 7.288e-3, cx12_15: 1.163e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q13,91.02278931758664,141.94271917214093,5.11395658965578,1.100000000000001e-2,2.507778691838542e-4,"cx13_12: 7.288e-3, cx13_14: 1.118e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q14,52.036406415941435,68.08937197672681,4.89838659435471,1.8000000000000016e-2,3.628528850688255e-4,"cx14_11: 1.081e-2, cx14_13: 1.118e-2, cx14_16: 1.645e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q15,93.94146495193846,72.33470437686292,4.848579170952772,3.1000000000000028e-2,3.437066095287232e-4,"cx15_12: 1.163e-2, cx15_18: 8.260e-3",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q16,55.150779567269694,48.077320342336066,5.020992037725649,1.200000000000001e-2,6.852473326268987e-4,"cx16_14: 1.645e-2, cx16_19: 1.207e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q17,63.99878282340412,84.92607745731029,5.050650456886933,1.9000000000000017e-2,5.09788552565347e-4,"cx17_18: 1.182e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
Q18,61.7235841885852,101.50166083114944,4.9367023741361535,1.6000000000000014e-2,2.820690110047311e-4,"cx18_15: 8.260e-3, cx18_17: 1.182e-2, cx18_21: 1.192e-2",Tue Mar 24 2020 08:19:35 GMT-0400 (Eastern Daylight Time)
