Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,93.68877427945235,60.455624765002874,5.224962201884885,7.369999999999999e-2,4.625930708965835e-4,"cx0_1: 6.548e-3",Mon Nov 16 2020 09:32:32 GMT-0500 (Eastern Standard Time)
Q1,154.42011817278038,150.79286033312707,5.003488299004044,3.9000000000000035e-2,1.6993386170538583e-4,"cx1_0: 6.548e-3, cx1_2: 6.312e-3, cx1_4: 6.823e-3",Mon Nov 16 2020 09:32:32 GMT-0500 (Eastern Standard Time)
Q2,96.49863242606175,145.3694197741904,5.143877666227935,1.1700000000000044e-2,2.644488093383439e-4,"cx2_1: 6.312e-3, cx2_3: 9.957e-3",Mon Nov 16 2020 09:32:32 GMT-0500 (Eastern Standard Time)
Q3,59.66741629879962,78.516429516077,5.209656267842892,9.800000000000031e-3,5.977495125012948e-4,"cx3_2: 9.957e-3, cx3_5: 1.242e-2",Mon Nov 16 2020 09:32:32 GMT-0500 (Eastern Standard Time)
Q4,126.55780412701043,160.5877645610867,5.0877064207457305,3.279999999999994e-2,1.8089709504535352e-4,"cx4_1: 6.823e-3, cx4_7: 7.999e-3",Mon Nov 16 2020 09:32:32 GMT-0500 (Eastern Standard Time)
Q5,114.67487207544609,150.3899804918818,5.167260421951606,1.0599999999999943e-2,4.4994455928657433e-4,"cx5_3: 1.242e-2, cx5_8: 8.987e-3",Mon Nov 16 2020 09:32:32 GMT-0500 (Eastern Standard Time)
Q6,155.26099744146347,89.3525981944877,5.151661942283497,2.310000000000001e-2,8.748844799316193e-4,"cx6_7: 1.345e-2",Mon Nov 16 2020 09:32:32 GMT-0500 (Eastern Standard Time)
Q7,145.11647901080855,201.74868435502643,4.915432488578909,3.539999999999999e-2,1.5476625923690918e-4,"cx7_4: 7.999e-3, cx7_6: 1.345e-2, cx7_10: 1.459e-2",Mon Nov 16 2020 09:32:32 GMT-0500 (Eastern Standard Time)
Q8,113.79539844864355,116.1476835668419,5.033342739350344,1.5300000000000091e-2,3.063271214333118e-4,"cx8_5: 8.987e-3, cx8_9: 8.245e-3, cx8_11: 5.976e-3",Mon Nov 16 2020 09:32:32 GMT-0500 (Eastern Standard Time)
Q9,91.40369998946177,162.83144061441678,5.082177118342028,1.3500000000000068e-2,2.669803326553103e-4,"cx9_8: 8.245e-3",Mon Nov 16 2020 09:32:32 GMT-0500 (Eastern Standard Time)
Q10,112.74483583460795,48.98654671131158,5.0977388972112125,2.059999999999995e-2,4.88679004281162e-4,"cx10_7: 1.459e-2, cx10_12: 1.759e-2",Mon Nov 16 2020 09:32:32 GMT-0500 (Eastern Standard Time)
